序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
48,b0266b1eb467f3db,testMetricFunctionDimension,gxtest.v2.double.metric001.123,frm,,"指标 [gxtest.v2.double.metric001.123] 支持函数 [frm]，但执行失败: SQL执行失败: anaCustomQueryTable ParseSQL not exist 解析表信息失败: 语法错误: [行1:51 extraneous input 'FROM' expecting {LIMIT, NOT, NULL, CASE, TRUE, FALSE, ARRAY, INTERVAL, DISTINCT, GROUP_CONCAT, COUNT, SUM, AVG, MINUTE, HOUR, DAY, MONTH, YEAR, SECOND, GO_FROM, REVERSELY, SPLIT, SHORTEST_PATH_WITH_PROP, FORWARD, RELATIONSHIPS, NODES, IF, MAX, MIN, FLOOR, UNIX_TIMESTAMP, NOW, CAST, VARCHAR, TO_UNIX_TIMESTAMP, IFNULL, TO_UNIX_TIMESTAMP64_MILLI, TO_JSON_STRING, STRING, INT, INTEGER, BIGINT, FLOAT, DOUBLE, DECIMAL, BOOLEAN, DATE, DATETIME, TIMESTAMP, SNAP, EA, EU, EUG, IDENTIFIER, BACKTICK_IDENTIFIER, QUOTED_IDENTIFIER, STRING_LITERAL, NUMBER, VALUE, '?', '[', '(', '*'} 行1:245 extraneous input '100' expecting {<EOF>, ';'}]",Product defects,failed
49,a17360cc8b4cee5f,testMetricFunctionDimension,gxtest.v3.double.metric001,frm,"interfaceId, lifeCycle, serviceId",指标 [gxtest.v3.double.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: column [output_flow] datatype is blank,Product defects,failed
50,6076612157e767ce,testMetricFunctionByEntityAttribute,gxtest.v3.double.metric001,frm,"entity.interface.accountId, entity.interface.customizedName, entity.interface.dataSource, entity.interface.detectedName, entity.interface.envId, entity.interface.instanceId, entity.interface.interfaceType, entity.interface.lifeCycle, entity.interface.oneDataSource, entity.interface.perspective, entity.interface.perspectiveDiffFlag, entity.interface.requestAddr, entity.interface.requestUrl, entity.interface.serviceId, entity.interface.sourceDetail, entity.interface.updateTime, entity.interface.lastMonitorTime, entity.interface.lastUploadTime",指标 [gxtest.v3.double.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: column [output_flow] datatype is blank,Product defects,failed
51,b242f8891efb0145,testMetricFunctionByEntityAttribute,gxtest.v3.double.metric001,frm,"entity.service.accountId, entity.service.createTime, entity.service.customizedName, entity.service.dataSource, entity.service.detectedName, entity.service.envId, entity.service.indexList, entity.service.instanceId, entity.service.lifeCycle, entity.service.oneDataSource, entity.service.perspective, entity.service.perspectiveDiffFlag, entity.service.sourceDetail, entity.service.technologyType, entity.service.updateTime, entity.service.lastMonitorTime, entity.service.lastUploadTime",指标 [gxtest.v3.double.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: column [output_flow] datatype is blank,Product defects,failed
52,d575054413f7edf7,testMetricFunctionDimension,gxtest.v4.double.metric001,frm,"interfaceId, lifeCycle, serviceId",指标 [gxtest.v4.double.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: dimension [lifeCycle] not exist,Product defects,failed
53,df8d7feb10a0497f,testMetricFunctionDimension,yxl.custom.metric,frm,"diskSize, hostIp, requestType",指标 [yxl.custom.metric] 支持函数 [frm]，但执行失败: SQL执行失败: column [input_flow] datatype is blank,Product defects,failed
54,172199181009a3fc,testMetricFunctionDimension,one.query.apm.agent.status.status,last,"dataCenterId, hostDetectedName, hostId, networkZoneId, operatingSystemType, operatingSystemVersion, virtualization","指标 [one.query.apm.agent.status.status] 支持函数 [last]，但执行失败: SQL执行失败: query error code: 386, message: There is no supertype for types String, UInt8 because some of them are String/FixedString/Enum and some of them are not: while executing 'FUNCTION equals(account_id : 1, 4 : 11) -> equals(account_id, 4) UInt8 : 15'",Product defects,failed
55,816a2a49d6a88b08,testMetricFunctionDimension,test0305.t1.metric001,frm,serviceId,指标 [test0305.t1.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: column [output_flow] datatype is blank,Product defects,failed
56,972803d2616110df,testMetricFunctionByEntityAttribute,test0305.t1.metric001,frm,"entity.service.accountId, entity.service.createTime, entity.service.customizedName, entity.service.dataSource, entity.service.detectedName, entity.service.envId, entity.service.indexList, entity.service.instanceId, entity.service.lifeCycle, entity.service.oneDataSource, entity.service.perspective, entity.service.perspectiveDiffFlag, entity.service.sourceDetail, entity.service.technologyType, entity.service.updateTime, entity.service.lastMonitorTime, entity.service.lastUploadTime",指标 [test0305.t1.metric001] 支持函数 [frm]，但执行失败: SQL执行失败: column [output_flow] datatype is blank,Product defects,failed
57,c80111ff6d1910be,testMetricFunctionByEntityAttribute,one.rum.net.request.apdex,frm,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.apdex] 支持函数 [frm]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 34'",Product defects,failed
58,a03b86e9870ef6d8,testMetricFunctionByEntityAttribute,one.rum.net.request.dns,avg,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.dns] 支持函数 [avg]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 34'",Product defects,failed
59,7085765123861711,testMetricFunctionByEntityAttribute,one.rum.net.request.dns,min,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.dns] 支持函数 [min]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
60,95e9779b681cc872,testMetricFunctionByEntityAttribute,one.rum.net.request.dns,max,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.dns] 支持函数 [max]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
61,aee6b34e7d6330df,testMetricFunctionByEntityAttribute,one.rum.net.request.request,avg,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [avg]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 35'",Product defects,failed
62,aa7fd5019e7f5965,testMetricFunctionByEntityAttribute,one.rum.net.request.request,min,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [min]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
63,7408a8a8803fa501,testMetricFunctionByEntityAttribute,one.rum.net.request.request,max,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [max]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
64,6cf7121517049355,testMetricFunctionByEntityAttribute,one.rum.net.request.request,quantile,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [quantile]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
65,119fc6569399aeec,testMetricFunctionByEntityAttribute,one.rum.net.request.request,quantile,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [quantile]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
66,fd42a1e2a0b5b439,testMetricFunctionByEntityAttribute,one.rum.net.request.request,quantile,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [quantile]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
67,7bda5f687522d12,testMetricFunctionByEntityAttribute,one.rum.net.request.request,quantile,"entity.page.accountId, entity.page.createTime, entity.page.customizedName, entity.page.dataSource, entity.page.detectedName, entity.page.envId, entity.page.instanceId, entity.page.lifeCycle, entity.page.oneDataSource, entity.page.pageType, entity.page.perspective, entity.page.perspectiveDiffFlag, entity.page.sourceDetail, entity.page.updateTime, entity.page.viewAlias, entity.page.lastMonitorTime, entity.page.lastUploadTime","指标 [one.rum.net.request.request] 支持函数 [quantile]，但执行失败: SQL执行失败: extractRowsData error code: 32, message: Attempt to read after eof: Cannot parse Int64 from String, because value is too short: while executing 'FUNCTION toInt64(page_id : 0) -> toInt64(page_id) Int64 : 32'",Product defects,failed
